patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
timepoint_0_rep1	71.7094147234353	outer	0.557214942627076	69.5601595572394	outer	0.564345057989167
timepoint_0_rep2	57.2981611799274	outer	0.55295337575492	45.8748224508195	outer	0.576865658827499
timepoint_0_rep3	61.7876933437654	outer	0.554732908857268	53.4643746939838	outer	0.568728644545186
timepoint_0_5_rep1	61.961796808477	outer	0.549423708097043	50.942948923623	outer	0.569762840289678
timepoint_0_5_rep1.1	62.2219668050351	outer	0.552780984276802	50.942948923623	outer	0.572659643090714
timepoint_0_5_rep3	56.5873716859715	neutral	0.556320096975436	46.2497675707619	outer	0.5825439087041
timepoint_1_rep1	61.6870031772811	outer	0.552762429095775	47.9878768516732	outer	0.572465185800424
timepoint_1_rep2	62.2219668050351	outer	0.557137354665139	52.7785470777782	outer	0.576424593499025
timepoint_1_rep3	56.1745948351506	neutral	0.565770758058307	46.2534311200732	outer	0.588408588022847
timepoint_2_rep1	62.2219668050351	outer	0.552486977694134	49.5775288970131	outer	0.574128796031144
timepoint_2_rep2	63.2917323317014	outer	0.563623465521208	53.3234777872864	outer	0.582409368056049
timepoint_4_rep1	61.9760926937041	outer	0.559393814004568	50.8244381771994	outer	0.585772039067136
timepoint_4_rep2	58.9705023167738	outer	0.56510886883169	46.5117316083246	inner	0.587916056483118
timepoint_4_rep3	57.2981611799274	outer	0.569646257677023	46.8930716114479	outer	0.590416412091529
timepoint_8_rep1	61.1073859806411	outer	0.553305209928849	45.5525301910321	outer	0.586590938931126
timepoint_8_rep2	59.3143477213576	inner	0.555865288876017	43.3570616073033	neutral	0.586896975497357
timepoint_8_rep3	57.4202608748013	inner	0.57188476441783	45.8404528356266	outer	0.598427322967149
timepoint_16_rep1	59.1973118777094	neutral	0.540871419119237	47.7913078461582	outer	0.578649128648399
timepoint_16_rep2	59.3627956036109	neutral	0.548033351479444	47.2004914934377	neutral	0.579841956982114
timepoint_16_rep3	57.7405885462622	outer	0.557953117250969	45.8200411575025	outer	0.582746731330227
timepoint_24_rep1	58.1573899565852	neutral	0.534422877306238	52.5530345992554	outer	0.588691705114866
timepoint_24_rep2	59.580193464448	neutral	0.550474939196885	53.8035700520056	outer	0.586551857802337
timepoint_24_rep3	58.3972623315118	outer	0.557988802410496	45.8200411575025	outer	0.58274356920342
timepoint_72_rep1	62.5419596603042	outer	0.549631393334339	54.2153894860965	outer	0.560226703442589
timepoint_72_rep2	57.6991154468386	neutral	0.538807918574329	54.806546535832	outer	0.559966096431568
timepoint_72_rep3	57.6801467490207	neutral	0.548542607238766	53.8750086656661	outer	0.563131216694964
