patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
GSM3569551_0A_L3.LB1	50.2295366146583	outer	0.579596123923902	62.062670228302	outer	0.598272347711575
GSM3569552_0B_L3.LB2	53.96908000717	inner	0.610449110359686	68.544858350292	outer	0.622297923903638
GSM3569553_1A_L3.LB3	50.9589551402637	outer	0.620866339122138	68.3845617144161	neutral	0.63097896518844
GSM3569554_1B_L3.LB4	57.5304322287663	outer	0.572549170327085	65.3657046341173	outer	0.591254180416519
GSM3569555_2A_L3.LB5	53.8097313351334	neutral	0.588397493259241	65.2710186480539	outer	0.609901354674746
GSM3569556_2B_L4.LB6	52.3898315007845	outer	0.593263924047047	67.7648946381264	outer	0.605697164466895
GSM3569557_4A_L4.LB7	58.9665767079365	outer	0.561672828239132	65.1711851770776	outer	0.586910404673361
GSM3569558_4B_L4.LB8	56.2374324072889	outer	0.563617848843292	65.5620050048349	outer	0.585919408740285
GSM3569559_6A_L4.LB9	55.1450850812104	outer	0.57122263764763	60.8372153666466	outer	0.583021208420067
GSM3569560_6B_L4.LB10	51.9577773838938	neutral	0.607065008670764	67.1246275828417	outer	0.621166096647611
GSM3569561_7A_L6.LB11	58.6237411146825	inner	0.469827072002685	43.7346597105343	outer	0.533216033128776
GSM3569562_7B_L6.LB12	55.0073867446495	inner	0.506601813796241	34.8676820689194	inner	0.564659192099449
GSM3569563_8A_L6.LB13	54.52828890147	outer	0.590568881388517	63.4421334113565	outer	0.608912926174464
GSM3569564_8B_L6.LB14	55.5617794476713	outer	0.575416064335788	63.171106601803	outer	0.589942548046736
GSM3569565_16A_L6.LB15	61.5929203395396	outer	0.543594636668081	48.2132986958796	outer	0.575405301028484
GSM3569566_16B_L7.LB16	50.3215710338459	outer	0.566296622195564	49.8254719167037	outer	0.596643369452038
GSM3569567_21A_L7.LB18	58.5298082240206	inner	0.508427932902537	33.692269446439	inner	0.562718584468291
GSM3569568_21B_L7.LB19	65.9257101737505	outer	0.575123183841136	57.8370459745	outer	0.580294420235877
GSM3569569_24A_L7.LB20	52.5662817228374	inner	0.575886624830839	48.3777462076439	inner	0.609687709240253
GSM3569570_24B_L7.LB21	57.5614735806618	neutral	0.582319335492118	52.0312629754469	outer	0.60522498986996
GSM3569571_72A_L8.LB22	54.3750109336196	inner	0.545610771073601	37.9173138535552	inner	0.601287002478056
GSM3569572_72B_L8.LB23	55.9095684340312	inner	0.524659859423387	38.3923121789435	inner	0.584796729775924
GSM3569573_180A_L8.LB25	63.7977442904374	outer	0.519959842244999	56.343761726135	outer	0.543359325457794
GSM3569574_180B_L8.LB27	62.9993523318646	inner	0.543391529268817	58.528171118071	outer	0.565954715252617
