patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
No.Dox	49.229028549613	outer	0.600274368553722	52.9643328007585	outer	0.603360363572369
DAY1	56.0740825143106	outer	0.624015368545118	58.4255376788169	outer	0.615921648037753
DAY2	52.4306667201641	inner	0.619849902821194	47.3692412946068	outer	0.616929587509476
DAY3	55.7090202378533	outer	0.666448187299615	53.0198942364024	outer	0.651197046846578
DAY4	55.0246521216296	neutral	0.635144285873774	44.912521120793	outer	0.622949535848844
DAY5	57.3662717251909	inner	0.637255161244761	57.7392571198496	outer	0.637691103022318
DAY6	58.1420740934169	outer	0.644852673734175	45.7092821931656	inner	0.641186604727652
DAY7	62.637103684141	outer	0.642069740831819	53.7271284012801	outer	0.617730996945992
