geneSymbol,No Dox,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
UQCR11,14.712154,15.93478221,12.16602367,13.85164518,11.57824477,15.2594112,13.41868737,15.43767957
PTGES3L,0.490815091,0.653876017,0.733809818,0.725128546,0.691303626,0.703806696,0.555050471,0.317385264
RP11-760L24.1,0,0,0,0,0,0,0,0
CTD-2659N19.10,0,0.062533667,0,0,0.042802,0,0,0.06054
AC006130.3,0,0,0,0,0,0,0,0
RP1-212G6.7,0.540381,0.747063767,0.911423333,0.630189,0.745157,0.473530633,0.390799667,0.682927333
CTD-2246P4.1,0.015715267,0.024557023,0.031184717,0.031656833,0.043832567,0.040732567,0.035096533,0.031422433
RP11-866E20.1,0,0,0,0,0,0,0,0
CTB-75G16.3,0.280183,0.408301667,0.329721,0.374625333,0.401716667,0.427365,0.580132667,0.409513
RP11-64C12.8,0.028698233,0,0,0,0,0,0.010597967,0
RP11-10K17.6,0,0,0,0,0,0,0,0
RP11-165E7.1,1.31939E-56,0,4.8034E-111,4.27607E-86,9.0948E-138,0.052371333,0.0172282,3.17669E-96
AC005256.1,1.476688559,1.820598726,1.130412222,0.704398333,0.282395658,0.603213386,0.38230844,0.272662587
RP11-1094M14.5,0,0,0,0,0,0,0,0.010180667
RP11-434D2.3,0,0,0,0,0,0,0,0
CCDC58P3,0.0708415,0.139176967,0.098742667,0.0273882,0.176260333,0.0567959,0.085502333,0.052119467
RP11-127I20.5,0.086758067,0.120305,0.086048733,0.109665533,0.074501033,0.105732367,0.057704867,0.096195667
RP11-666A8.9,0.026066333,0.0108495,0,0.011991167,0.019354967,0.0114666,0.029349833,0.0261497
RP11-820I16.1,0.3239261,0.222243933,0.188600333,0.185967,0.309206,0.255478667,0.429826333,0.230735333
ASB16-AS1,5.221469067,5.901523333,4.211237333,5.762993,5.196895333,8.514953,6.359702185,6.549314333
CTC-400I9.2,0,0,0,0,0,0,0,0
CTC-510F12.2,0.040883467,0.280332,0.306887667,0.282334667,0.376165333,0.332618667,0.46509,0.371317333
AC079005.2,0.010290733,0.013560367,0.006267833,0.026378033,0.0155972,0.0062224,0.005231633,0.0058823
RP11-666A8.11,0,0,0,0,0,0,0,0
RP11-15J10.9,0.284522333,0.076393333,0.424168,0.28393,0.061712333,0,0.073007,0.089725
AC131056.6,0,0,0,0,80.62633333,57.183,107.255,0
RP11-115N12.1,0.0194627,0,0,0.058827733,0.0547514,0.026873867,0.045085667,0.025428
CTC-499B15.8,0,0,0,0,0,0,0,0
AC005789.9,0,0,0,0,0,0,0,0.054320333
CTBP2P7,0.304752333,0.173338333,0.458197333,0.2251,0.332066333,0.181649667,0.254628,0.190810333
CTB-25B13.9,0.062919733,0.051890433,0.06875,0.0843822,0.091146733,0.0791608,0.1789346,0.073904767
CTD-2105E13.13,0.137278867,0.128577667,0.104825667,0.234877667,0.095714167,0.158276233,0.0910251,0.147558667
CTC-360P9.5,0,0,0,0,0,0,0,0
CTD-2319I12.5,0,0,0,0,0,0,0.016223167,0.0358444
CTD-2537I9.13,0.191741,0.271743733,0.187918,0.255350667,0.225577667,0.230253667,0.307096333,0.231801
RP11-309E23.2,0,0,0,0,0,0,0,0
RP11-325K19.1,0,0,0,0,0,0,0,0
NTF6G,0.0132375,0,0,0,0,0.016777067,0,0.014550767
ILF3-AS1,20.03863333,24.58996667,21.15206667,21.58823333,21.0715,25.30073333,27.71886667,21.6325
RP11-846C15.2,0,0,0,0,0,0,0,0
RP11-686D22.7,1.984096667,2.3801,2.043426667,2.82561,2.96342,3.14527,3.639146667,4.003943333
TBC1D3P1-DHX40P1,0.133718733,0.117009333,0.083546,0.077253433,0.098201567,0.0502213,0.127435183,0.1148241
CTD-2369P2.4,0.035286667,0,0,0,0,0,0.033614333,0
CTD-3116E22.4,5.02367647,4.0948074,5.117519333,5.8169556,5.286666333,3.993598,6.168099267,4.7110144
AC011526.1,0.139906357,0.11128566,0.170461782,0.240648641,0.24715864,0.240474635,0.301586297,0.118581829
RP11-861E21.1,1.872736667,1.78653,4.39914,0,0.304607333,0,0,0.83316
CTD-2378E21.1,0,0,0,0,0,0,0,0
CTD-2587H24.4,0.070911533,0.134135033,0.191438667,0.045751567,0.191591,0.029822567,0.0202216,0.077678233
AC008993.2,0,0.010581533,0.010591967,0,0,0,0,0.011694533
RP11-839G9.1,0,0,0.0155341,0.035634333,0,0,0,0
AF038458.4,0,0,0,0,0,0,0,0
CTB-129P6.11,0.0600323,0.163098333,0.153631333,0.166722333,0.068148633,0.196717,0.139498,0
CTD-3064H18.2,0.1504283,0.0895858,0.151896367,0.119593833,0.152774333,0.132443333,0.0923053,0.177515267
RP11-64C12.7,0,0,0,0,0,0,0,0
AC010525.4,0,0,0,0,0,0,0,0
CTB-91J4.1,0.133305933,0.122401567,0.067280199,0.185704533,0.143415286,0.1315483,0.050465167,0.0496976
RPL10P15,0.394045333,0.283615333,0.386276333,0.424264,0.679126333,1.479193333,0.830221333,0.447018
AD000671.6,0.2980834,0.404406,0.323645067,0.564977667,0.117235667,0.909981933,0.541943667,0.3607484
CTD-2020K17.1,0.1380168,0.237730033,0.209946633,0.2166071,0.320485767,0.210221867,0.2890069,0.240808017
AC004490.1,0.046378333,0.033464033,0.049904533,0.0407032,0.055512133,0.039266867,0.057037433,0.0382006
CTD-2357A8.3,7.341485,7.923133333,10.66249,9.109753333,10.40268667,9.93629,11.26576667,7.037394
CTD-3113P16.5,0.019613967,0,0,0,0.014339333,0,0,0
CTB-31O20.6,0,0,0,0,0,0,0,0
RP11-795F19.5,0.745118061,0.769558333,0.461923,0.688916833,0.873914033,0.752986233,0.673101033,1.328530067
