tumors	patients	mock_pseudospace	tumors	patients	tgfb_pseudospace
OV	OV.TCGA.09.0369.01A.01R.1564.13	79.4935151543184	OV	OV.TCGA.09.0369.01A.01R.1564.13	79.9300949082573
OV	OV.TCGA.09.1673.01A.01R.1566.13	63.6578791646564	OV	OV.TCGA.09.1673.01A.01R.1566.13	47.3814407260737
OV	OV.TCGA.09.2044.01B.01R.1568.13	80.2426534541663	OV	OV.TCGA.09.2044.01B.01R.1568.13	79.4247447272801
OV	OV.TCGA.09.2051.01A.01R.1568.13	83.5756949941782	OV	OV.TCGA.09.2051.01A.01R.1568.13	72.4160709799419
OV	OV.TCGA.09.2053.01C.01R.1568.13	48.2140026008861	OV	OV.TCGA.09.2053.01C.01R.1568.13	50.4700033719438
OV	OV.TCGA.10.0927.01A.02R.1564.13	49.8619723360458	OV	OV.TCGA.10.0927.01A.02R.1564.13	48.2555344153293
OV	OV.TCGA.10.0928.01A.02R.1564.13	44.168593991407	OV	OV.TCGA.10.0928.01A.02R.1564.13	40.552847175336
OV	OV.TCGA.10.0931.01A.01R.1564.13	74.602720955	OV	OV.TCGA.10.0931.01A.01R.1564.13	60.9984333571416
OV	OV.TCGA.10.0933.01A.01R.1569.13	72.3514760291055	OV	OV.TCGA.10.0933.01A.01R.1569.13	89.1749652645517
OV	OV.TCGA.10.0937.01A.02R.1564.13	47.66843398477	OV	OV.TCGA.10.0937.01A.02R.1564.13	47.8305653002156
OV	OV.TCGA.13.0714.01A.01R.1564.13	51.5537966323919	OV	OV.TCGA.13.0714.01A.01R.1564.13	48.755572249074
OV	OV.TCGA.13.0726.01A.01R.1564.13	47.1873843904006	OV	OV.TCGA.13.0726.01A.01R.1564.13	36.4886176218129
OV	OV.TCGA.13.0795.01A.01R.1564.13	53.5469150456851	OV	OV.TCGA.13.0795.01A.01R.1564.13	50.570686849013
OV	OV.TCGA.13.0800.01A.01R.1564.13	51.4044516362507	OV	OV.TCGA.13.0800.01A.01R.1564.13	51.5634230350799
OV	OV.TCGA.13.0804.01A.01R.1564.13	47.8636157748809	OV	OV.TCGA.13.0804.01A.01R.1564.13	44.8941781709958
OV	OV.TCGA.13.0883.01A.02R.1569.13	50.4811979492335	OV	OV.TCGA.13.0883.01A.02R.1569.13	41.7775461678041
OV	OV.TCGA.13.0884.01B.01R.1565.13	51.032117956229	OV	OV.TCGA.13.0884.01B.01R.1565.13	45.4540432509722
OV	OV.TCGA.13.0885.01A.02R.1569.13	51.8981191132877	OV	OV.TCGA.13.0885.01A.02R.1569.13	55.0264092460483
OV	OV.TCGA.13.0886.01A.01R.1569.13	60.3604641701783	OV	OV.TCGA.13.0886.01A.01R.1569.13	39.7633145817678
OV	OV.TCGA.13.0887.01A.01R.1564.13	67.0704570626627	OV	OV.TCGA.13.0887.01A.01R.1564.13	50.6563407854053
OV	OV.TCGA.13.0888.01A.01R.1564.13	46.1282354848516	OV	OV.TCGA.13.0888.01A.01R.1564.13	50.8452226192848
OV	OV.TCGA.13.0891.01A.01R.1564.13	35.906660047683	OV	OV.TCGA.13.0891.01A.01R.1564.13	46.1760666510679
OV	OV.TCGA.13.0893.01B.01R.1565.13	73.1522577574015	OV	OV.TCGA.13.0893.01B.01R.1565.13	73.7807582007808
OV	OV.TCGA.13.0897.01A.01R.1564.13	29.9599494710072	OV	OV.TCGA.13.0897.01A.01R.1564.13	33.0289683061413
OV	OV.TCGA.13.0905.01B.01R.1565.13	63.4723749254501	OV	OV.TCGA.13.0905.01B.01R.1565.13	64.42094326994
OV	OV.TCGA.13.0911.01A.01R.1564.13	55.3356398227509	OV	OV.TCGA.13.0911.01A.01R.1564.13	42.0218678652765
OV	OV.TCGA.13.0916.01A.01R.1564.13	92.5181995821794	OV	OV.TCGA.13.0916.01A.01R.1564.13	80.8953715771266
OV	OV.TCGA.13.0923.01A.01R.1564.13	62.9854884442608	OV	OV.TCGA.13.0923.01A.01R.1564.13	40.2557106375282
OV	OV.TCGA.13.1403.01A.01R.1565.13	29.8425053901959	OV	OV.TCGA.13.1403.01A.01R.1565.13	32.1673659771994
OV	OV.TCGA.13.1404.01A.01R.1565.13	62.1877587771825	OV	OV.TCGA.13.1404.01A.01R.1565.13	59.9113277678342
OV	OV.TCGA.13.1405.01A.01R.1565.13	64.2932892056664	OV	OV.TCGA.13.1405.01A.01R.1565.13	59.0702662460609
OV	OV.TCGA.13.1411.01A.01R.1565.13	60.8817425028043	OV	OV.TCGA.13.1411.01A.01R.1565.13	59.8662872506868
OV	OV.TCGA.13.1477.01A.01R.1565.13	52.7569532624433	OV	OV.TCGA.13.1477.01A.01R.1565.13	37.3173501149279
OV	OV.TCGA.13.1483.01A.01R.1565.13	62.3837234914387	OV	OV.TCGA.13.1483.01A.01R.1565.13	57.1546025831971
OV	OV.TCGA.13.1487.01A.01R.1565.13	46.4901938421082	OV	OV.TCGA.13.1487.01A.01R.1565.13	42.9774942865866
OV	OV.TCGA.13.1488.01A.01R.1565.13	59.7366745699597	OV	OV.TCGA.13.1488.01A.01R.1565.13	51.5070562638637
OV	OV.TCGA.13.1489.01A.01R.1565.13	67.9482831657438	OV	OV.TCGA.13.1489.01A.01R.1565.13	54.9739175874923
OV	OV.TCGA.13.1492.01A.01R.1565.13	84.2244313825142	OV	OV.TCGA.13.1492.01A.01R.1565.13	88.2137952750842
OV	OV.TCGA.13.1495.01A.01R.1565.13	67.820679057815	OV	OV.TCGA.13.1495.01A.01R.1565.13	46.7129301580822
OV	OV.TCGA.13.1496.01A.01R.1565.13	56.8209920839787	OV	OV.TCGA.13.1496.01A.01R.1565.13	46.6911662958213
OV	OV.TCGA.13.1497.01A.01R.1565.13	70.2279421105605	OV	OV.TCGA.13.1497.01A.01R.1565.13	76.287801010957
OV	OV.TCGA.13.1498.01A.01R.1565.13	65.48251355027	OV	OV.TCGA.13.1498.01A.01R.1565.13	41.7705794091097
OV	OV.TCGA.13.1499.01A.01R.1565.13	72.1580688692306	OV	OV.TCGA.13.1499.01A.01R.1565.13	60.6944898859728
OV	OV.TCGA.13.1501.01A.01R.1565.13	61.4843989975573	OV	OV.TCGA.13.1501.01A.01R.1565.13	54.5867146050539
OV	OV.TCGA.13.1505.01A.01R.1565.13	56.018575648256	OV	OV.TCGA.13.1505.01A.01R.1565.13	41.1416407002424
