ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000110756.17	1004	783	751	202	248	349	485	471	360	208	233	265	497	566	520	310	275	265
ENSG00000110768.11	1770	1257	1171	300	264	401	1447	1197	975	306	340	363	1115	1301	1195	769	695	674
ENSG00000110777.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110786.17	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1
ENSG00000110799.13	5	8	4	0	0	5	3	0	0	10	3	6	1	3	1	0	1	0
ENSG00000110801.13	477	351	364	185	197	252	314	372	315	314	365	427	666	726	661	407	408	346
ENSG00000110811.19	5	4	2	1	3	2	3	6	3	4	4	1	1	8	0	1	7	14
ENSG00000110841.13	1352	935	859	181	136	224	587	508	406	143	176	168	964	1014	972	530	514	459
ENSG00000110844.13	373	348	290	74	89	125	180	215	167	145	149	159	244	312	263	208	171	162
ENSG00000110848.8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110851.11	988	773	706	171	195	258	449	467	357	182	180	163	607	694	690	373	307	324
ENSG00000110852.4	17	8	9	0	1	2	42	27	20	3	3	7	3	2	7	8	10	3
ENSG00000110871.14	513	367	388	130	151	220	417	437	347	156	169	200	313	345	320	245	216	198
ENSG00000110876.9	0	3	4	1	2	1	4	6	4	1	2	4	13	6	10	7	11	5
ENSG00000110880.10	2986	2221	2270	565	624	917	1458	1465	1240	706	756	849	2084	2398	2045	1506	1151	1154
ENSG00000110881.11	24	17	12	5	6	9	7	14	7	22	12	12	5	14	4	24	6	19
ENSG00000110887.7	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	0
ENSG00000110888.17	546	429	400	214	247	388	1131	943	777	91	105	87	1143	1321	1128	675	687	582
ENSG00000110900.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000110906.12	682	497	462	192	229	319	390	340	308	165	223	153	504	532	527	334	359	325
ENSG00000110911.14	698	527	491	74	69	81	133	127	120	106	145	122	203	276	216	154	140	92
ENSG00000110917.7	1870	1368	1308	374	369	620	995	847	679	791	929	860	1938	2206	1931	966	847	749
ENSG00000110921.11	300	248	241	156	196	198	191	211	179	160	215	239	112	127	131	216	168	172
ENSG00000110925.6	546	360	407	170	192	306	421	384	291	121	146	103	497	602	525	403	379	360
ENSG00000110931.18	530	492	434	120	130	164	218	247	210	214	227	212	407	545	440	335	329	268
ENSG00000110934.10	0	0	0	0	0	0	1	0	0	1	1	0	1	2	0	0	0	0
ENSG00000110944.8	2	0	3	1	3	4	1	10	4	2	1	3	4	9	5	0	3	1
ENSG00000110955.8	11514	9116	8811	4853	5735	7648	8452	7839	6369	7357	8304	8506	5940	6954	6230	4580	4059	3607
ENSG00000110958.15	2379	1616	1565	320	326	534	920	913	645	505	610	638	1411	1674	1412	819	790	640
ENSG00000110975.8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
