ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000000003.14	202	140	140	37	59	84	365	285	253	34	66	63	150	173	160	175	160	148
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.12	1344	821	888	427	409	592	1258	927	808	256	299	347	811	872	774	642	540	464
ENSG00000000457.13	168	149	141	21	16	40	111	119	88	34	49	67	175	183	186	129	115	103
ENSG00000000460.16	306	207	227	63	76	100	206	176	141	57	50	55	149	186	129	87	63	57
ENSG00000000938.12	1	2	2	0	0	0	0	0	1	2	3	0	2	2	0	0	1	2
ENSG00000000971.15	262	156	203	44	48	61	171	131	107	38	45	55	130	167	136	100	74	76
ENSG00000001036.13	1195	944	932	217	306	401	779	765	582	299	346	403	596	638	670	446	382	345
ENSG00000001084.10	2097	1498	1517	60	73	115	250	233	184	152	176	226	343	415	372	181	144	163
ENSG00000001167.14	548	374	352	62	67	71	262	254	194	74	95	80	370	425	413	310	300	323
ENSG00000001460.17	169	114	112	91	100	133	204	158	124	64	73	78	147	187	193	121	97	93
ENSG00000001461.16	1453	1128	1019	254	265	306	454	417	333	365	425	435	840	938	918	534	512	472
ENSG00000001497.16	707	540	540	216	217	280	395	374	291	290	343	359	459	524	422	388	313	276
ENSG00000001561.6	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000001617.11	1210	1050	949	379	466	561	223	313	239	807	852	803	840	877	799	922	864	871
ENSG00000001626.14	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001629.9	1536	1103	1053	239	263	374	1119	1008	693	180	223	238	1042	1229	1133	876	763	686
ENSG00000001630.15	2189	1532	1670	357	360	542	847	765	590	355	350	380	1129	1229	1072	641	534	539
ENSG00000001631.14	880	664	625	85	92	112	360	268	235	104	149	144	483	607	494	438	382	304
ENSG00000002016.16	222	168	187	22	19	44	52	56	52	49	58	51	140	166	172	80	56	70
ENSG00000002079.12	3	2	0	11	26	18	46	55	36	0	0	0	28	29	26	16	18	10
ENSG00000002330.13	208	203	182	359	495	525	308	732	531	525	499	564	371	450	436	546	414	482
ENSG00000002549.12	824	573	597	115	112	179	368	351	283	164	206	177	383	418	379	203	164	147
ENSG00000002586.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	37	27	37	6	7	9	7	4	8	4	23	10	8	3	10	10	13	9
ENSG00000002726.19	1	5	1	0	2	3	2	1	3	3	2	2	7	4	2	12	8	16
ENSG00000002745.12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746.14	8	12	6	3	2	4	9	11	10	0	0	5	7	3	1	21	21	19
ENSG00000002822.15	409	403	334	227	315	398	278	365	287	343	400	443	439	434	422	397	292	316
ENSG00000002834.17	1576	1262	1112	729	830	1120	1621	1440	1170	821	915	871	1790	2046	1912	1976	1887	1810
ENSG00000002919.14	164	123	113	112	128	161	144	169	135	119	160	154	193	195	192	235	161	161
ENSG00000002933.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056.7	2070	1512	1557	633	640	998	1904	1779	1502	688	1005	914	1624	1889	1832	1302	1162	1022
ENSG00000003096.13	116	89	94	13	9	3	40	27	21	10	14	16	11	19	7	13	17	8
ENSG00000003137.8	18	22	18	29	21	38	27	27	34	13	5	12	260	310	260	142	123	151
ENSG00000003147.17	219	174	154	43	35	47	86	66	81	37	55	54	95	104	110	47	45	39
ENSG00000003249.13	24	25	23	2	2	9	1	2	2	17	19	8	5	4	8	9	9	8
ENSG00000003393.14	980	722	661	153	165	255	551	545	413	165	233	170	760	873	708	459	444	346
ENSG00000003400.14	89	62	55	12	15	13	25	34	25	31	45	28	38	65	41	48	41	52
ENSG00000003402.19	1028	739	795	138	169	188	265	272	214	209	292	245	698	780	720	481	439	366
ENSG00000003436.14	358	254	282	42	27	60	287	240	195	44	51	56	211	278	222	138	94	120
ENSG00000003509.15	258	183	186	41	51	54	128	128	103	63	51	75	183	185	174	132	87	82
ENSG00000003756.16	1553	1110	1125	172	217	268	814	769	627	387	433	439	1340	1497	1321	1105	1031	819
ENSG00000003987.13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
ENSG00000003989.16	390	319	283	10	10	13	28	27	18	100	105	128	99	139	111	30	48	29
ENSG00000004059.10	1069	925	836	1067	1236	1486	1397	1826	1350	1588	1707	1797	1794	1933	1791	1748	1553	1415
ENSG00000004139.13	13	9	8	0	3	4	0	2	4	12	7	8	12	14	25	17	12	10
ENSG00000004142.11	1353	1158	1163	824	983	1278	823	905	676	1099	1224	1239	1085	1302	1047	816	705	602
ENSG00000004399.12	22	23	15	16	23	22	10	7	7	9	16	10	27	20	25	42	33	22
ENSG00000004455.16	2251	1609	1539	562	582	916	2018	1847	1466	792	1060	903	1028	1197	1131	883	840	718
ENSG00000004468.12	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0
ENSG00000004478.7	1999	1608	1525	525	654	993	1445	1346	1179	1077	1243	1353	545	676	585	487	529	492
ENSG00000004487.15	1682	1233	1309	656	668	886	1338	1248	1014	676	730	817	2154	2457	2117	1485	1412	1267
ENSG00000004534.14	901	656	613	146	152	184	456	471	322	219	246	269	893	1002	983	445	388	356
ENSG00000004660.14	153	121	112	37	44	56	35	36	40	44	38	36	104	179	163	90	96	89
ENSG00000004700.15	1207	918	986	252	296	412	876	797	587	112	127	128	792	968	798	660	480	473
ENSG00000004766.15	863	628	647	192	231	320	698	643	522	90	158	134	372	352	334	386	440	377
ENSG00000004776.11	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000004777.18	31	41	38	11	16	12	2	4	4	28	33	21	31	36	42	23	16	12
ENSG00000004779.9	583	472	482	144	191	222	366	468	351	294	314	470	497	488	404	308	239	297
ENSG00000004799.7	42	30	28	0	0	0	0	0	0	3	0	1	1	0	2	0	0	1
ENSG00000004809.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838.13	4	5	7	1	1	2	2	3	1	8	7	3	3	6	14	2	3	6
ENSG00000004846.16	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000004848.6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864.13	514	393	390	112	118	145	250	281	232	143	151	182	291	344	250	255	246	214
ENSG00000004866.18	288	205	186	71	76	90	288	294	243	96	113	96	218	239	199	216	194	178
ENSG00000004897.11	2248	1559	1585	369	396	594	1663	1367	1074	282	310	356	1155	1460	1178	632	632	598
ENSG00000004939.13	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004948.13	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000004961.14	379	287	288	92	94	126	279	229	197	103	98	107	219	269	242	195	148	134
ENSG00000004975.11	515	420	400	190	219	321	228	288	197	413	483	420	312	422	410	375	353	333
ENSG00000005001.9	264	308	246	34	34	30	6	4	10	47	40	55	41	34	27	19	11	11
ENSG00000005007.12	1746	1642	1482	618	818	964	290	411	293	1208	1477	1441	1416	1626	1515	1039	837	916
ENSG00000005020.12	510	354	361	53	58	77	103	140	78	42	47	44	218	254	195	123	107	86
ENSG00000005022.5	4690	3502	3466	1315	1471	2059	2091	2164	1690	3424	3874	3837	3898	4525	4116	1917	1843	1679
ENSG00000005059.15	197	158	144	72	116	160	242	308	224	76	88	110	260	296	294	188	172	167
ENSG00000005073.5	3	4	7	5	9	1	6	7	5	7	4	4	6	14	10	6	9	3
ENSG00000005075.15	239	171	174	191	225	268	383	470	363	316	351	283	298	387	317	296	308	232
ENSG00000005100.12	768	567	561	129	109	161	169	164	133	175	206	180	359	431	352	181	149	193
ENSG00000005102.12	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000005108.15	3	3	2	0	0	5	0	1	0	1	0	0	0	0	0	0	1	2
ENSG00000005156.11	627	466	432	133	168	227	268	265	209	222	238	217	339	436	420	278	269	252
ENSG00000005175.9	630	434	463	118	85	167	500	383	321	66	67	96	249	302	235	275	257	235
ENSG00000005187.11	57	42	52	4	3	9	23	21	13	11	17	8	13	17	16	9	7	5
ENSG00000005189.19	166	110	127	42	58	79	51	52	33	70	117	74	101	115	103	30	27	28
ENSG00000005194.14	574	492	520	276	331	460	522	527	426	526	564	590	553	687	603	562	482	443
ENSG00000005206.16	146	155	164	34	62	63	13	33	20	121	114	131	177	183	215	168	130	153
ENSG00000005238.19	1600	1255	1119	899	1116	1445	1126	1181	1051	342	377	331	2421	2480	2402	2039	1967	1818
ENSG00000005243.9	43	35	36	26	29	63	37	64	61	40	51	40	48	68	59	44	43	27
ENSG00000005249.12	7	4	2	0	0	0	2	0	0	2	1	0	1	0	5	4	2	5
ENSG00000005302.17	254	201	206	82	113	135	362	315	294	108	124	120	314	335	344	266	236	199
ENSG00000005339.13	1152	926	813	214	220	292	211	244	200	281	279	282	755	868	872	616	581	613
ENSG00000005379.15	3	6	3	0	0	1	0	0	2	0	7	3	5	1	10	22	22	11
ENSG00000005381.7	0	0	0	3	1	3	1	0	0	0	1	0	0	0	0	1	0	0
ENSG00000005421.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000005436.13	340	246	209	28	41	56	108	122	109	31	64	55	88	111	84	67	62	50
ENSG00000005448.16	202	167	170	177	266	346	241	263	216	296	373	329	317	367	349	280	213	244
ENSG00000005469.11	595	435	410	45	45	53	103	92	77	65	79	79	138	168	136	105	77	91
ENSG00000005471.15	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
ENSG00000005483.19	1373	940	960	144	105	208	531	395	339	116	153	143	837	889	758	783	684	657
ENSG00000005486.16	454	350	313	308	379	456	170	226	160	359	512	383	483	476	433	476	447	460
ENSG00000005513.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700.14	1954	1394	1466	174	208	279	546	428	399	131	205	176	904	1113	993	502	437	362
ENSG00000005801.16	256	186	204	18	15	30	109	91	84	20	23	32	114	161	127	130	117	120
ENSG00000005810.17	3194	2402	2432	129	176	222	771	674	584	225	248	261	1184	1295	1215	898	727	641
ENSG00000005812.10	1223	883	860	137	180	257	646	580	427	92	135	157	759	847	754	510	398	430
ENSG00000005844.17	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1
ENSG00000005882.11	257	230	187	122	162	180	141	124	114	199	252	210	211	216	200	231	270	241
ENSG00000005884.17	10344	9096	7769	4948	5825	7530	6131	6437	5345	4971	5928	5169	10276	11886	11163	12831	12118	11303
ENSG00000005889.15	1060	768	823	104	86	143	303	303	221	106	119	120	654	675	566	307	275	269
ENSG00000005893.15	2806	2126	2030	374	414	658	1546	1485	1140	444	550	547	2197	2665	2318	1665	1440	1386
ENSG00000005961.17	4	4	7	2	1	0	0	1	0	2	3	4	4	4	1	3	1	2
ENSG00000005981.12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000006007.11	1319	1070	1019	349	416	542	861	859	657	765	946	894	1140	1351	1191	621	604	570
ENSG00000006015.17	38	36	29	41	60	28	30	49	44	44	64	70	50	40	41	54	52	56
ENSG00000006016.10	6	11	8	122	149	191	133	206	143	20	10	21	291	294	292	702	566	754
ENSG00000006025.11	121	88	97	35	43	34	22	20	16	41	60	60	107	130	122	91	71	91
ENSG00000006042.11	67	48	59	55	66	86	128	91	78	48	51	53	49	72	53	101	88	69
ENSG00000006047.12	4	2	2	0	0	0	0	1	0	4	3	4	0	0	0	0	2	0
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.13	206	195	135	26	24	20	15	20	35	54	69	93	97	102	138	94	82	75
ENSG00000006071.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.14	376	336	286	156	296	242	79	165	160	236	246	277	655	711	644	898	719	856
ENSG00000006125.16	5289	4059	3830	1457	1696	2504	3959	3714	3044	1352	1794	1610	4258	5035	4562	2505	2307	2110
ENSG00000006128.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194.9	795	645	613	177	206	260	312	297	247	338	407	371	579	692	614	463	317	341
ENSG00000006210.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000006282.20	529	461	378	258	331	402	325	378	370	397	451	430	524	505	442	766	638	692
ENSG00000006283.17	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	6	3	1
ENSG00000006327.13	1401	1034	1057	2028	2033	2882	3010	3187	2548	713	793	751	2682	3094	3061	1683	1535	1205
ENSG00000006377.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432.15	1537	1244	1220	445	515	681	315	300	242	143	193	165	1086	1249	1172	516	474	425
ENSG00000006451.7	660	434	458	191	215	292	1191	1101	919	79	96	91	407	494	443	411	371	332
ENSG00000006453.13	1223	945	918	517	476	729	888	806	665	435	522	448	1709	1889	1733	1058	1029	1081
ENSG00000006459.10	1089	756	768	131	138	214	645	622	519	57	68	71	854	957	872	661	577	584
ENSG00000006468.13	53	33	45	1	1	3	12	13	11	2	3	3	9	11	12	11	10	13
ENSG00000006530.15	461	360	362	152	147	235	445	384	306	129	146	151	279	319	311	270	247	279
ENSG00000006534.15	478	463	379	126	142	166	60	120	73	398	496	460	151	200	167	111	105	110
ENSG00000006555.10	84	64	55	40	39	43	16	18	21	49	46	45	72	78	87	91	89	104
ENSG00000006576.16	611	413	444	59	50	82	228	219	158	89	95	124	368	423	347	236	224	233
ENSG00000006606.8	2	1	0	0	0	0	4	0	0	0	1	2	1	0	0	0	0	0
ENSG00000006607.13	306	242	212	109	114	172	193	188	129	165	190	206	282	394	279	274	229	203
ENSG00000006611.15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625.17	713	450	516	34	37	101	159	160	139	104	98	119	177	204	205	105	83	92
ENSG00000006634.7	800	486	492	35	43	60	130	109	96	100	69	89	271	345	312	77	60	67
ENSG00000006638.11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000006652.13	1631	1196	1177	254	269	443	519	483	360	219	250	308	946	1134	952	773	647	572
ENSG00000006659.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.10	665	568	465	98	111	170	246	229	177	182	241	191	252	257	270	197	185	177
ENSG00000006704.10	862	736	679	394	442	574	358	473	369	407	446	441	842	858	855	726	625	634
ENSG00000006712.14	693	497	423	233	235	279	460	414	365	438	517	469	596	721	641	445	402	370
ENSG00000006715.15	1227	890	875	107	116	175	686	668	496	85	138	116	636	713	625	484	435	396
ENSG00000006740.16	4	4	7	0	1	0	2	5	2	2	3	4	4	1	2	4	3	0
ENSG00000006744.18	877	667	661	369	474	639	544	544	430	601	684	626	656	769	798	565	526	547
ENSG00000006747.14	9	4	1	0	0	0	0	0	0	0	2	1	1	0	1	0	2	0
ENSG00000006756.15	321	267	253	94	91	133	158	159	105	107	157	137	314	381	326	318	267	244
ENSG00000006757.11	249	185	144	117	98	151	316	284	221	251	323	258	217	232	244	203	220	183
ENSG00000006788.12	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831.9	1526	1154	1163	190	249	356	520	522	416	296	394	373	724	828	800	528	492	444
ENSG00000006837.11	52	32	31	11	16	25	73	44	43	9	9	7	33	44	21	28	35	27
ENSG00000007001.12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000007038.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047.14	370	267	271	226	249	289	208	217	202	289	300	285	350	392	414	389	499	392
ENSG00000007062.11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000007080.10	176	151	151	160	202	198	152	333	238	274	340	300	264	255	251	305	225	250
ENSG00000007129.17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000007168.12	2503	1944	1922	440	555	799	1399	1400	1012	438	533	587	2693	3153	2831	1608	1275	1353
ENSG00000007171.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007174.17	1	1	1	0	1	0	3	1	0	1	0	1	1	2	1	1	4	1
ENSG00000007202.14	3955	3196	2904	1249	1501	2173	2019	1902	1541	2084	2437	2293	2464	2917	2747	2139	1963	1894
ENSG00000007216.14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000007237.18	1	0	1	0	0	0	2	0	0	1	0	0	8	8	1	0	1	1
ENSG00000007255.10	57	54	44	53	73	52	42	84	46	87	135	139	126	122	154	39	50	41
ENSG00000007264.13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000007306.14	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ENSG00000007312.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000007314.11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007341.18	285	209	219	77	82	109	247	197	129	110	117	101	211	249	244	156	221	157
ENSG00000007350.16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372.20	0	1	1	0	1	1	2	4	4	0	0	0	3	3	0	0	0	1
ENSG00000007376.7	137	158	165	127	183	177	60	118	95	363	459	440	274	289	256	304	246	252
ENSG00000007384.15	328	288	241	173	179	272	95	111	114	171	203	195	463	541	491	423	380	309
ENSG00000007392.16	390	258	233	40	55	78	141	144	112	67	79	96	303	372	303	223	180	173
ENSG00000007402.11	4	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000007516.13	1	2	2	0	1	1	1	0	0	4	2	2	1	0	0	5	0	1
ENSG00000007520.3	213	229	192	147	164	192	179	281	191	320	360	315	292	321	302	280	294	252
ENSG00000007541.15	311	317	260	226	349	337	73	124	103	332	338	389	401	447	416	482	448	519
ENSG00000007545.15	394	346	327	74	78	82	64	66	48	121	152	121	405	411	444	270	229	227
ENSG00000007866.18	501	388	330	168	150	231	130	105	105	312	356	280	576	641	654	467	497	408
ENSG00000007908.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923.15	884	672	664	155	197	316	327	280	234	286	363	345	468	496	458	356	336	302
ENSG00000007933.12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000007944.14	713	566	538	35	32	35	98	81	84	116	151	152	267	278	257	122	122	96
ENSG00000007952.17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000007968.6	111	79	74	9	3	4	2	2	0	74	103	90	22	28	26	13	4	4
ENSG00000008018.8	1146	839	862	302	341	403	1299	1255	919	297	355	358	834	980	952	741	637	506
ENSG00000008056.12	0	0	1	1	0	0	0	0	0	0	0	0	3	0	2	0	1	0
ENSG00000008083.13	1136	825	695	231	236	362	672	562	431	243	291	240	1472	1820	1647	837	798	712
ENSG00000008086.10	446	277	327	73	65	103	298	246	212	21	38	40	288	352	301	254	242	183
ENSG00000008118.9	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2
ENSG00000008128.22	105	70	60	14	17	21	33	35	28	32	28	26	67	74	48	52	62	46
ENSG00000008130.15	646	554	523	152	221	238	221	288	232	337	377	381	395	371	444	268	227	268
ENSG00000008196.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000008226.19	1	3	1	1	1	2	1	2	1	3	4	0	2	1	4	13	11	6
ENSG00000008256.15	447	354	353	91	134	162	205	229	177	115	94	109	300	352	351	280	230	235
ENSG00000008277.14	52	31	34	0	7	3	9	9	3	11	8	16	25	18	22	33	30	24
ENSG00000008282.8	2166	1485	1437	293	298	450	943	881	621	378	476	495	1109	1352	1130	758	626	630
ENSG00000008283.15	647	572	501	182	186	257	175	184	149	495	606	571	715	813	771	302	235	257
ENSG00000008294.20	3694	2632	2791	318	367	490	1247	1187	853	329	343	395	2562	2988	2670	1549	1242	1162
ENSG00000008300.14	268	214	191	76	91	128	39	39	40	184	207	195	325	368	378	283	244	265
ENSG00000008311.14	230	172	141	16	15	34	100	86	63	50	57	58	120	133	100	59	48	51
ENSG00000008323.15	22	30	23	4	7	1	2	2	3	16	20	21	4	2	4	8	5	7
ENSG00000008324.10	86	57	69	20	29	17	93	117	86	22	21	28	82	75	98	66	45	77
ENSG00000008382.15	22	29	22	23	26	35	13	34	20	33	36	46	39	27	40	48	60	47
ENSG00000008394.12	2388	1668	1720	270	240	397	1039	898	707	607	687	728	920	1117	859	525	499	403
ENSG00000008405.11	89	87	87	14	23	34	76	78	82	30	20	21	137	165	165	85	56	48
ENSG00000008438.4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000008441.16	248	216	161	56	63	104	50	52	34	192	242	171	174	211	214	122	146	151
ENSG00000008513.14	602	518	500	523	711	925	548	632	479	134	147	137	1643	1969	1869	1071	937	877
ENSG00000008516.16	1	1	1	3	0	0	0	0	1	0	5	0	0	2	3	0	3	3
ENSG00000008517.16	0	0	0	0	0	0	3	1	0	0	0	1	1	2	5	2	5	7
ENSG00000008710.17	294	376	305	126	184	154	21	37	52	301	345	396	481	458	534	621	476	526
ENSG00000008735.13	28	20	27	32	41	42	3	6	13	43	35	30	28	47	51	33	31	17
ENSG00000008838.17	1028	960	821	397	444	610	282	316	231	575	622	553	728	756	752	623	544	552
ENSG00000008853.16	1306	1061	942	549	690	871	421	385	338	830	976	806	2325	2750	2604	1003	1092	1014
ENSG00000008869.11	971	785	732	152	144	243	640	605	461	124	179	165	601	677	630	500	445	336
ENSG00000008952.16	1873	1213	1329	286	316	386	1173	1020	825	175	172	232	734	945	791	817	665	691
ENSG00000008988.9	7851	5665	5755	4582	4879	6467	13220	12629	9452	7576	9044	8791	11173	12537	12263	9755	8821	7327
ENSG00000009307.15	11895	8176	8275	1810	1760	2828	10445	8831	6985	2372	2739	2602	8797	10432	9286	5893	5398	4827
ENSG00000009335.17	2430	1978	1861	340	444	574	784	780	596	425	516	548	1462	1771	1670	798	661	689
ENSG00000009413.15	2768	1886	1901	117	141	176	637	557	418	135	189	170	595	785	652	689	609	592
ENSG00000009694.13	4	4	3	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0
ENSG00000009709.11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724.16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009765.14	0	1	0	0	1	0	2	0	0	0	0	0	4	1	4	0	1	0
ENSG00000009780.15	239	172	168	34	42	79	146	121	83	50	44	48	165	169	149	90	71	72
ENSG00000009790.14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009830.11	265	202	188	117	135	154	148	129	103	99	147	125	248	303	305	257	219	214
ENSG00000009844.15	1264	890	941	392	403	621	1462	1272	997	220	261	228	637	771	561	778	598	653
ENSG00000009950.15	21	28	25	0	3	0	1	0	2	10	19	10	3	5	2	2	0	0
ENSG00000009954.10	3400	2336	2241	323	315	516	869	774	632	632	684	601	1996	2330	2033	854	782	630
ENSG00000010017.12	2132	1667	1423	203	205	347	594	483	439	266	300	309	898	1092	987	537	464	384
ENSG00000010030.13	5	8	4	0	3	0	1	1	0	3	1	6	1	0	1	0	1	0
ENSG00000010072.15	171	134	136	24	31	43	83	67	58	44	59	36	179	218	209	123	111	118
ENSG00000010165.19	372	325	320	95	147	178	234	193	195	227	239	212	382	445	369	288	289	234
ENSG00000010219.13	222	164	174	114	115	173	339	329	268	116	106	112	190	219	226	198	183	158
ENSG00000010244.16	3551	2766	2626	671	700	1028	3047	2669	2123	827	973	922	2517	3124	2665	2191	1884	1902
ENSG00000010256.10	3902	3429	3209	3550	4391	5585	4049	4501	3522	4533	5301	5389	4839	5577	5343	3387	3054	3194
ENSG00000010270.13	344	243	293	148	165	255	496	501	412	58	86	84	251	311	248	188	183	163
ENSG00000010278.11	1756	1378	1376	515	542	819	1563	1588	1159	1038	1322	1234	2075	2563	2365	1230	1126	1054
ENSG00000010282.14	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000010292.12	3338	2692	2438	747	758	1103	503	457	371	2803	3061	2861	3138	3485	3309	788	680	691
ENSG00000010295.19	1	1	0	1	0	1	1	2	7	4	5	1	4	0	1	1	7	4
ENSG00000010310.8	6	7	2	1	1	0	2	2	0	0	2	1	3	1	6	5	2	6
ENSG00000010318.19	96	79	89	14	25	26	30	23	19	72	44	73	72	81	62	33	45	32
ENSG00000010319.6	2	0	1	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0
ENSG00000010322.15	1009	884	760	228	269	348	241	306	211	309	357	372	625	702	585	633	550	527
ENSG00000010327.10	0	1	0	0	1	0	0	0	0	0	0	1	1	4	0	0	0	1
ENSG00000010361.13	39	32	37	22	25	33	32	38	20	70	58	69	29	38	47	51	37	36
ENSG00000010379.15	5	0	5	0	0	0	3	0	2	0	0	1	7	13	2	1	3	6
ENSG00000010404.17	584	410	423	109	151	182	177	177	104	101	127	116	297	358	370	273	238	274
ENSG00000010438.16	141	109	106	711	806	1084	596	603	480	217	243	221	724	877	781	383	387	297
ENSG00000010539.11	177	151	148	38	51	42	102	82	82	29	38	73	157	170	139	118	80	99
ENSG00000010610.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000010626.14	78	76	71	43	35	48	135	112	81	48	60	67	109	99	100	141	96	82
ENSG00000010671.15	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
ENSG00000010704.18	89	87	100	15	21	13	36	60	30	24	60	42	61	83	39	52	32	36
ENSG00000010803.16	375	312	266	125	118	167	206	159	139	261	289	218	341	423	356	282	311	221
ENSG00000010810.17	381	273	268	65	85	140	137	157	118	184	185	171	566	605	575	521	478	476
ENSG00000010818.8	3351	2636	2264	190	206	348	559	511	421	195	202	179	1396	1684	1441	570	508	492
ENSG00000010932.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011007.12	1693	1176	1203	249	319	382	716	564	507	507	564	517	967	1159	1029	507	506	513
ENSG00000011009.10	836	685	670	484	607	763	412	500	370	566	631	631	792	939	846	858	721	720
ENSG00000011021.21	315	231	210	27	49	83	66	64	54	37	35	50	140	157	152	143	128	138
ENSG00000011028.13	491	443	422	229	316	392	259	384	329	320	398	389	1396	1684	1559	1817	1630	1497
ENSG00000011083.8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
ENSG00000011105.11	131	105	108	62	71	90	126	131	109	84	107	101	227	229	239	268	253	217
ENSG00000011114.14	965	728	657	201	179	328	659	573	471	170	192	169	931	1088	1102	613	489	497
ENSG00000011132.11	118	111	98	88	110	116	63	124	84	178	201	205	180	191	189	203	147	140
ENSG00000011143.16	152	134	112	52	75	85	106	101	82	107	106	96	172	191	170	116	110	117
ENSG00000011198.7	390	298	276	44	53	52	141	111	108	62	79	74	175	231	148	70	64	72
