patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
BC01_Pooled	67.2725761458698	outer	0.4641706923509	50.6604703253906	inner	0.449190002815233
BC02_Pooled	70.2482505715366	outer	0.468526407414794	59.3776594246986	inner	0.467128575947409
BC03_Pooled	67.2990774913185	inner	0.396446777005547	60.0576277575849	inner	0.415592671268101
BC03LN_Pooled	91.3137892972486	outer	0.467164034290092	90.1444654149495	inner	0.465795951665824
BC04_Pooled	86.3069978599375	outer	0.476219394860235	82.611240810024	outer	0.477110863031698
BC05_Pooled	81.1943762070425	outer	0.497684783893983	80.2975384952343	inner	0.491435692687478
BC08_Pooled	67.7084641274148	outer	0.448840210903143	54.2120714293425	neutral	0.441418369489181
BC10_Pooled	72.6105498110097	outer	0.444931299264231	62.4387343432579	inner	0.455530629652679
BC11_Pooled	86.7849134192587	outer	0.45109622302185	77.7464165495266	outer	0.45390200420584
BC01_02	65.6039053308383	neutral	0.408899326979537	47.9607105523725	neutral	0.413340991782655
BC01_03	80.3371192958111	inner	0.451656828066009	86.048788858846	neutral	0.443746691125118
BC01_04	54.372409663857	inner	0.366277883748798	50.7362571535979	outer	0.381212114974657
BC01_05	58.1643968526372	inner	0.404848466014785	52.8287710041302	outer	0.411541716821167
BC01_06	59.9105277453455	inner	0.373618802824472	48.1654085129513	outer	0.385817290979497
BC01_08	56.4670957068282	inner	0.390364723708986	45.8248606187497	outer	0.397507525626661
BC01_10	59.8986414701224	inner	0.398790911227298	47.3600841662216	outer	0.416566417402689
BC01_12	59.9180568989129	inner	0.382129742207287	42.0721124016748	inner	0.394347906706526
BC01_33	58.1895798914985	inner	0.396014987603254	49.8124105786478	outer	0.41656736072427
BC01_34	64.1385406781235	inner	0.391803819764006	44.9451896912718	neutral	0.405070206380181
BC01_53	55.0967177554081	inner	0.425471816194047	42.9421814990573	neutral	0.425248564701407
BC01_55	61.1757675897799	inner	0.425409963211037	50.3393619842133	outer	0.426490214331859
BC01_57	58.7689552428427	inner	0.367820234491864	37.5807168949669	inner	0.381649197692641
BC01_66	57.3637792042575	inner	0.369100104864454	49.1559402857963	outer	0.384410337073024
BC01_69	61.6080645538611	inner	0.36414107322555	50.4098309278512	outer	0.371935048785659
BC01_70	64.1416164168963	inner	0.384825029017135	45.45257081457	outer	0.405321427916454
BC01_72	59.7276471178124	inner	0.370040091998836	50.7090334294386	outer	0.382752959638331
BC01_77	62.8075069891824	inner	0.383235608031655	45.2660070932002	outer	0.390348109418737
BC01_87	59.1327460170928	inner	0.365928761019742	42.2103932922631	inner	0.37065406229097
BC01_95	61.8847426345904	inner	0.410750413211167	42.1009575472727	outer	0.418489542552922
BC02_02	56.3104240446258	inner	0.316321353557207	47.7270312091674	outer	0.339315046954005
BC02_08	56.4797062892192	outer	0.196564649414642	43.0251017414972	inner	0.239049839916601
BC02_09	55.8412542621721	inner	0.215238434139666	43.0147385363527	inner	0.244273030971654
BC02_10	58.6395122034674	inner	0.261663249473063	48.4044547048886	outer	0.294028479628941
BC02_11	57.0947961882772	inner	0.271675231987666	46.5913340538935	inner	0.299083906168239
BC02_12	57.1162195859863	outer	0.200950696221073	43.6815625001425	inner	0.235185267928917
BC02_13	59.0604955917224	outer	0.27021413872179	51.65879440148	outer	0.308355098639259
BC02_14	61.9606623876544	outer	0.249848552910671	44.7712609224611	inner	0.280597506602049
BC02_15	52.6742316376267	inner	0.18311193022031	42.3567212739303	inner	0.226065102626877
BC02_18	59.7347345636644	outer	0.289875462788778	43.8061603846307	inner	0.298619040953126
BC02_19	56.4865543729155	outer	0.031473410371629	49.7335822481003	outer	0.102406817543248
BC02_22	57.2294340020165	outer	-0.00480771409106547	48.3423907564975	outer	0.0756670065369754
BC02_24	56.149273893316	neutral	0.0339316153060129	48.6552674212502	outer	0.095141117503851
BC02_25	57.429488085409	inner	0.136984962677093	40.3188278531769	inner	0.187843793061616
BC02_26	60.0752115489615	neutral	0.342214643160832	46.7000550487379	inner	0.362951950239058
BC02_28	56.3038884528331	inner	0.276055364620999	41.7490591759824	inner	0.305885579130449
BC02_31	61.4879176548927	outer	0.220503379896493	47.9150747549111	outer	0.258857987465015
BC02_34	56.1029771353022	neutral	0.0757952061351314	46.6002453495814	neutral	0.140930824827425
BC02_44	59.194413657184	neutral	0.244519289909019	46.8655572528613	neutral	0.281302425746634
BC02_47	48.4032070725232	neutral	-0.0825196212908186	47.9675861284882	outer	-0.017447447742652
BC02_50	56.4605851581467	inner	0.239690121902017	44.2863454168884	inner	0.278336797202157
BC02_51	58.5081565338939	outer	0.291486578750275	43.0081599634823	inner	0.31263297109384
BC02_53	55.0998183114438	inner	0.234837414093717	45.3075237701435	inner	0.274661105501512
BC02_54	59.3546297304937	inner	0.349934837152976	44.6699192240491	inner	0.36945085594188
BC02_55	57.8630496589461	inner	0.319172704679815	45.3137184760512	inner	0.345415851353315
BC02_58	60.5092566211679	neutral	0.182280234333924	50.0842554602387	outer	0.229223417416031
BC02_59	66.2691284385298	outer	-0.00525621466069349	52.2831652356079	outer	0.0795712731686593
BC02_60	62.2074454741279	inner	0.303276744673032	51.013046448369	inner	0.328545834362259
BC02_61	60.6772788391006	outer	-0.0381835676712585	47.4820394381814	inner	0.0441804241092214
BC02_62	55.0890589862334	inner	0.070044261960193	37.606900883686	inner	0.1281495564903
BC02_63	60.0638379041983	neutral	0.11525564826014	44.1059948674956	inner	0.164759744575982
BC02_64	59.7528912087603	neutral	0.213074507302145	44.9382013884977	inner	0.260088954988228
