patients	pseudospace	ratio	cor_mock
BC01_Pooled	67.2725761458698	outer	0.4641706923509
BC02_Pooled	70.2482505715366	outer	0.468526407414794
BC03_Pooled	67.2990774913185	inner	0.396446777005547
BC03LN_Pooled	91.3137892972486	outer	0.467164034290092
BC04_Pooled	86.3069978599375	outer	0.476219394860235
BC05_Pooled	81.1943762070425	outer	0.497684783893983
BC08_Pooled	67.7084641274148	outer	0.448840210903143
BC10_Pooled	72.6105498110097	outer	0.444931299264231
BC11_Pooled	86.7849134192587	outer	0.45109622302185
BC01_02	65.6039053308383	neutral	0.408899326979537
BC01_03	80.3371192958111	inner	0.451656828066009
BC01_04	54.372409663857	inner	0.366277883748798
BC01_05	58.1643968526372	inner	0.404848466014785
BC01_06	59.9105277453455	inner	0.373618802824472
BC01_08	56.4670957068282	inner	0.390364723708986
BC01_10	59.8986414701224	inner	0.398790911227298
BC01_12	59.9180568989129	inner	0.382129742207287
BC01_33	58.1895798914985	inner	0.396014987603254
BC01_34	64.1385406781235	inner	0.391803819764006
BC01_53	55.0967177554081	inner	0.425471816194047
BC01_55	61.1757675897799	inner	0.425409963211037
BC01_57	58.7689552428427	inner	0.367820234491864
BC01_66	57.3637792042575	inner	0.369100104864454
BC01_69	61.6080645538611	inner	0.36414107322555
BC01_70	64.1416164168963	inner	0.384825029017135
BC01_72	59.7276471178124	inner	0.370040091998836
BC01_77	62.8075069891824	inner	0.383235608031655
BC01_87	59.1327460170928	inner	0.365928761019742
BC01_95	61.8847426345904	inner	0.410750413211167
BC02_02	56.3104240446258	inner	0.316321353557207
BC02_08	56.4797062892192	outer	0.196564649414642
BC02_09	55.8412542621721	inner	0.215238434139666
BC02_10	58.6395122034674	inner	0.261663249473063
BC02_11	57.0947961882772	inner	0.271675231987666
BC02_12	57.1162195859863	outer	0.200950696221073
BC02_13	59.0604955917224	outer	0.27021413872179
BC02_14	61.9606623876544	outer	0.249848552910671
BC02_15	52.6742316376267	inner	0.18311193022031
BC02_18	59.7347345636644	outer	0.289875462788778
BC02_19	56.4865543729155	outer	0.031473410371629
BC02_22	57.2294340020165	outer	-0.00480771409106547
BC02_24	56.149273893316	neutral	0.0339316153060129
BC02_25	57.429488085409	inner	0.136984962677093
BC02_26	60.0752115489615	neutral	0.342214643160832
BC02_28	56.3038884528331	inner	0.276055364620999
BC02_31	61.4879176548927	outer	0.220503379896493
BC02_34	56.1029771353022	neutral	0.0757952061351314
BC02_44	59.194413657184	neutral	0.244519289909019
BC02_47	48.4032070725232	neutral	-0.0825196212908186
BC02_50	56.4605851581467	inner	0.239690121902017
BC02_51	58.5081565338939	outer	0.291486578750275
BC02_53	55.0998183114438	inner	0.234837414093717
BC02_54	59.3546297304937	inner	0.349934837152976
BC02_55	57.8630496589461	inner	0.319172704679815
BC02_58	60.5092566211679	neutral	0.182280234333924
BC02_59	66.2691284385298	outer	-0.00525621466069349
BC02_60	62.2074454741279	inner	0.303276744673032
BC02_61	60.6772788391006	outer	-0.0381835676712585
BC02_62	55.0890589862334	inner	0.070044261960193
BC02_63	60.0638379041983	neutral	0.11525564826014
BC02_64	59.7528912087603	neutral	0.213074507302145
BC02_66	56.6849821203783	inner	0.208910126305396
BC02_67	56.9077711056157	outer	0.319069920089926
BC02_68	65.3076521014293	neutral	0.343581021763077
BC02_70	57.0073805393153	neutral	0.0539186571574725
BC02_71	62.1771605930532	outer	0.254864406808429
BC02_73	57.7073583561896	inner	0.301028363798677
BC02_74	57.9976729231585	inner	0.25589278219446
BC02_75	59.0660190251631	outer	0.165614924575329
BC02_76	72.6290506596683	neutral	0.092793963538037
BC02_79	59.3538804610142	neutral	0.0989130102642548
BC02_81	56.2182030019607	inner	0.330797542849296
BC02_82	56.3167945559007	outer	0.218948465011969
BC02_83	56.9526714340503	neutral	0.204143094620668
BC02_86	58.2539946731736	outer	0.111587191882249
BC02_88	59.2267184649744	inner	0.240771553889501
BC02_89	73.3933897572402	neutral	0.205813720904869
BC02_90	55.6858601353956	inner	0.270364946412597
BC02_93	57.2174859785123	inner	0.293860333940435
BC02_94	55.136500310916	neutral	0.00779694563645609
BC02_95	58.9999605087981	outer	0.0694162900644109
BC02_96	58.9147914194287	inner	0.222238889147139
BC03_09	63.2796468470569	inner	0.38986378507144
BC03_11	59.0664524921696	inner	0.386639893350187
BC03_13	70.4858976787556	outer	0.398967141807546
BC03_16	61.7727166780726	outer	0.297802475925822
BC03_17	61.3594298364766	inner	0.404174066689996
BC03_19	63.8088019161561	outer	0.333714755990539
BC03_20	65.9390766925306	outer	0.411595581574314
BC03_21	88.9252413704202	outer	0.393497730186461
BC03_23	62.4060958584513	neutral	0.347329166038853
BC03_26	63.6486359821614	outer	0.346055274457642
BC03_29	64.6299681068337	outer	0.409906724646394
BC03_35	63.7379209363764	outer	0.325605409326358
BC03_37	65.5351804999137	inner	0.35990732981859
BC03_41	63.4226615778695	outer	0.361328530707192
BC03_43	88.3305939930879	neutral	0.421731024479864
BC03LN_05	66.9689325251285	outer	0.394392191562472
BC03LN_19	86.8360239337466	outer	0.391886984925932
BC03LN_23	85.8621815824853	outer	0.425952576178205
BC03LN_25	76.682883365385	outer	0.370339616676852
BC03LN_28	93.4123300825131	outer	0.46170060879893
BC03LN_35	63.749313814473	outer	0.364950385828926
BC03LN_47	78.1913306700105	inner	0.295196913946443
BC03LN_57	61.590194563914	outer	0.315340695465696
BC03LN_61	87.1063428624451	outer	0.305466190562561
BC03LN_89	85.1953490498423	outer	0.374346103253083
BC04_01	78.3733796577214	neutral	0.399331125015907
BC04_02	59.008128929304	outer	0.0901105301696472
BC04_07	62.5971851343476	inner	0.381508628427684
BC04_09	73.6029340012794	outer	0.369243051093545
BC04_11	54.0950719196432	neutral	0.0314505836558635
BC04_13	79.0074898113319	outer	0.415833988394073
BC04_14	53.6420479965947	inner	-0.0404571819199969
BC04_16	63.4638478839216	outer	0.0695867769562699
BC04_20	53.5465332490538	inner	0.371563309295429
BC04_22	56.1959821101795	inner	-0.0138943321520862
BC04_23	70.6653153700611	outer	0.38932516326862
BC04_24	59.6963744072489	inner	0.406239110334521
BC04_27	60.3761466770674	neutral	0.399006976440108
BC04_28	58.0206993100847	neutral	0.073169860914484
BC04_29	58.5778275297613	inner	0.38454562829373
BC04_30	53.8028041274535	inner	-0.135771526581388
BC04_31	56.3091594024544	inner	0.390072364004799
BC04_32	68.9821777252386	outer	0.338905241043129
BC04_33	57.8200794256161	outer	0.351244850184326
BC04_36	57.3084926951764	inner	0.352535690980714
BC04_37	59.3937237661712	inner	0.398556569149392
BC04_39	80.3324529699019	inner	0.445041935510894
BC04_40	69.3943528677861	outer	0.250377615898226
BC04_41	72.5977658435677	neutral	0.286036368468997
BC04_45	78.3550049256233	outer	0.299745989600822
BC04_49	58.0251745334471	outer	0.401339536132278
BC04_53	62.5213120769991	outer	0.441296128827853
BC04_54	62.604612150701	outer	0.17826704373074
BC04_56	65.8283125636833	outer	0.20715614272956
BC04_58	53.6509688699579	inner	0.378447889359474
BC04_59	55.4845900125807	inner	0.241581708936268
BC04_60	60.0214537608532	inner	0.413808376267548
BC04_61	58.2342317736816	outer	0.0452319530403883
BC04_63	58.9466561262654	outer	0.304666683744451
BC04_64	63.3293531140279	outer	0.404605698977344
BC04_69	58.4534492804492	neutral	0.291591926722877
BC04_71	63.5479896451924	outer	0.381380313403966
BC04_77	60.7935102476754	outer	0.3079416557613
BC04_78	72.9867167779011	outer	0.397012428946963
BC04_82	71.9786575630545	outer	0.410075593702455
BC04_85	63.9307984497431	outer	0.379039706987199
BC04_86	59.1473658695173	neutral	0.362188225069685
BC04_88	55.1272503125313	outer	0.216531311196948
BC04_90	61.8931488646713	outer	0.362196022357881
BC04_91	59.893249636688	outer	0.161301527139655
BC04_92	62.9457365471747	outer	0.140910795066522
BC04_93	58.1593173412138	inner	0.395522994449783
BC05_01	84.4234474706439	inner	0.431955444829896
BC05_02	59.2403610217109	outer	0.390060796827242
BC05_04	69.7759245423705	inner	0.403979944157733
BC05_07	57.1399316760731	outer	0.234059446262058
BC05_08	57.1638139424006	inner	0.388006963777075
BC05_09	63.6390070538627	outer	0.387123405005655
BC05_12	56.7668292869976	inner	0.319219786317526
BC05_13	66.4199959731863	outer	0.407816807121842
BC05_16	61.5737978697873	outer	0.377473878891224
BC05_17	72.0672191654149	inner	0.297862146611568
BC05_18	56.6391484189278	inner	0.192079392179459
BC05_20	66.421773940202	outer	0.418084125451633
