patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
BC04_28	64.9250856794961	neutral	0.190406853155334	69.5102138398909	outer	0.23114705822456
BC04_29	61.5945476101252	inner	0.367992175701515	65.6666315286897	neutral	0.382881187902065
BC04_30	63.7238841610395	inner	0.10083599588317	62.2965116034372	outer	0.155425297452666
BC04_31	63.6496017347907	inner	0.37398832889031	67.4297493730701	outer	0.386823407950504
BC04_32	49.9846829053161	outer	0.340895767347555	64.6255628884082	neutral	0.353235733939084
BC04_33	64.1126282395344	outer	0.344015837002112	60.2309411947534	outer	0.363296570436414
BC04_36	60.3866796240038	outer	0.334415792138824	71.8121181825445	inner	0.355499335575087
BC04_37	59.9156001721227	inner	0.372366058697669	63.4762899855659	inner	0.389896454017288
BC04_39	23.9973749020765	inner	0.398688554464906	9.76486725845586	outer	0.40582762461106
BC04_40	61.3453569225184	neutral	0.263401871872111	47.6032651157554	outer	0.284980001960933
BC04_41	35.9147556752221	neutral	0.299627286026369	23.1876557797385	neutral	0.315232753691071
BC04_45	33.3051472859793	inner	0.286577315716574	12.0548136059245	outer	0.310473398962797
BC04_49	64.4592375871791	inner	0.368590335454747	73.1121097475787	neutral	0.390428874891823
BC04_53	61.7738860043563	neutral	0.40524159076598	67.1598107559091	outer	0.409856028487912
BC04_54	54.0562209523013	outer	0.233872786715676	75.2351661829068	outer	0.254616512850083
BC04_56	56.3638148330181	inner	0.242609746708315	36.2051797500243	outer	0.27101397451993
BC04_58	55.6688502154992	neutral	0.343667224973671	60.0353258730281	outer	0.368817311666865
BC04_59	66.598848817177	outer	0.276158500235458	70.6969980985388	outer	0.290129132848284
BC04_60	62.0479942924179	neutral	0.391159202409488	56.4797987116481	outer	0.395512130445027
BC04_61	54.6363339122081	neutral	0.187190004045873	60.8242166467054	outer	0.222914182777725
BC04_63	63.3006858916463	outer	0.315983180613941	65.4430109417733	outer	0.327098997297426
BC04_64	52.6993254490779	outer	0.38211507537872	63.2306321560439	neutral	0.388701685014331
BC04_69	67.0579630657356	inner	0.314499269348981	69.8283187833495	inner	0.331133885997292
BC04_71	63.0153005230633	inner	0.359297444380051	64.0240338910569	outer	0.370333269175556
BC04_77	61.8322809284321	outer	0.311710545296339	68.0390041704783	inner	0.331589378889178
BC04_78	39.6550596038118	neutral	0.382166270092253	42.6857631278746	outer	0.393517370291416
BC04_82	31.6562994134681	outer	0.386303105575939	32.3625785355344	outer	0.401545943612039
BC04_85	57.1443030231294	neutral	0.365957908190959	66.6372872590905	neutral	0.376544708369694
BC04_86	63.3280504528386	inner	0.356313252620156	66.5983468895104	neutral	0.367626459116039
BC04_88	67.2367330882241	neutral	0.256950451981327	76.0731364059971	neutral	0.274846637693251
BC04_90	59.1989419739217	outer	0.364015250110737	65.9434114524954	neutral	0.376275399802729
BC04_91	53.6330876619272	outer	0.231375145465672	69.5723649296042	outer	0.256196624354002
BC04_92	57.7432645905633	outer	0.221703965466155	70.047850956722	outer	0.250867000722273
BC04_93	59.3279588891265	inner	0.379608663931715	61.637034008932	outer	0.39286415491707
