patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
X0	43.6461345114771	outer	0.61593340528654	47.4707250938551	outer	0.624214055684363
X6	45.0833988425864	outer	0.617104723582271	51.4600156192801	outer	0.622789270939878
X12	55.8850936810889	inner	0.666953390526954	56.4841382822136	outer	0.646800787879044
X24	58.7402257891241	outer	0.678750200247302	54.4382382699897	outer	0.667299325776576
X36	62.3405249381005	neutral	0.673940129528373	51.6593462345305	outer	0.662999802522855
X48	60.5861347820198	neutral	0.603956262121301	45.7295239745309	neutral	0.614367831320102
X72	60.8732424282063	inner	0.638737913164438	44.4463533229772	neutral	0.635030700235047
X96	64.5253317783006	neutral	0.664743905005482	53.8895188907653	outer	0.650561658207285
