patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
X0	62.9277336235121	outer	0.61593340528654	47.4707250938551	outer	0.624214055684363
X6	62.0434847531177	outer	0.617104723582271	51.4600156192801	outer	0.622789270939878
X12	58.7920241115624	inner	0.666953390526954	56.4841382822136	outer	0.646800787879044
X24	60.7505323308898	outer	0.678750200247302	54.4382382699897	outer	0.667299325776576
X36	59.4245046693608	neutral	0.673940129528373	51.6593462345305	outer	0.662999802522855
X48	57.3659194772992	neutral	0.603956262121301	45.7295239745309	neutral	0.614367831320102
X72	56.5798658388122	inner	0.638737913164438	44.4463533229772	neutral	0.635030700235047
X96	57.8589530254013	neutral	0.664743905005482	53.8895188907653	outer	0.650561658207285
