patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
X30426	66.2695323685905	outer	0.595760544790843	92.0327507495746	outer	0.584347923828936
X30505	55.4920078236086	outer	0.566829812592619	38.0589116984178	inner	0.592380963430299
X31043	51.2615245658217	outer	0.589309886615454	42.9121946198253	inner	0.609825659082744
X18154	47.8160211402379	outer	0.596887194408916	43.2572187027891	neutral	0.604903010796834
X30519	49.7533094296761	outer	0.537295338334486	37.4660458061008	inner	0.55844349959606
X30489	58.6261703186155	neutral	0.59008694696373	63.3415725587168	outer	0.587124555761919
X30492	51.9814934307313	outer	0.565519096529483	54.9603629477297	outer	0.579363011978888
X30488	44.5581332937924	inner	0.601143815412326	57.9366675303805	inner	0.607495494000009
X30616	57.9471146707252	outer	0.582617719262729	40.5651184315405	inner	0.604088646981773
X31189	66.383235838178	outer	0.662174769724145	87.7987998246256	neutral	0.654241854056543
X30608	54.5996169032468	outer	0.527793882683865	39.2859541053576	inner	0.564316057935284
X30609	57.7464064639559	neutral	0.618283510563261	83.7515042578474	outer	0.632243790096734
X31031	57.6720923932314	inner	0.55995160479999	73.6621352781246	inner	0.58316340920169
X30895	56.8019118521619	outer	0.546161825451631	69.1556156491557	outer	0.539539799369125
X18153	59.8924214725262	inner	0.426405493961983	67.344351107223	outer	0.426679155294424
X30810	59.484731623713	outer	0.613439352755893	65.2315445329999	outer	0.601519067662234
X31185	48.4481102149251	outer	0.624231947107459	31.63238954903	inner	0.631810325170482
X30807	51.2022272632286	outer	0.514572112572468	46.1647250518165	outer	0.559282001824421
X30821	55.5061573750662	outer	0.546899187217738	45.1722751999466	inner	0.569212950162985
X31190	63.4155699757849	inner	0.643660115639704	63.3104596721024	outer	0.633831114524263
X32354	49.1012202864893	inner	0.184499096417156	42.6808868226993	neutral	0.232014642762051
X30897	53.9097532272703	outer	0.499577311624107	49.2565807058172	inner	0.540920210049737
X30822	45.2894998827735	neutral	0.27531415286308	47.1189585997906	outer	0.314296225375847
X30902	43.975100936797	outer	0.606587518140449	39.8918378838864	inner	0.61253130394526
X31982	64.8554858687279	inner	0.514018222123673	86.5672754502341	outer	0.516364862222964
X18228	51.1812893079165	outer	0.286549474837854	46.8998216230981	outer	0.320898352786861
X31030	62.327470046789	inner	0.551616953921225	75.8459720571069	inner	0.553873985547755
X31034	66.4813863114803	outer	0.668120908633657	61.5582894427492	outer	0.655544503390887
X31191	61.0707781271019	outer	0.609607169690611	71.5365840656676	outer	0.600315761337117
X31369	55.5951876938416	outer	0.615800196337953	48.7787044742673	inner	0.617478595190023
X31370	48.608341917565	outer	0.56335305245447	61.3048415578584	inner	0.563630998701816
X31870	44.4495994410654	outer	0.434134712462451	46.4670820771536	outer	0.462277498878389
X31042	60.8004847596948	outer	0.530152592605484	80.3859049074271	neutral	0.554316212691293
X31518	60.5296266431165	outer	0.665864654072993	89.8485127358201	outer	0.658728818667895
X31095	56.1595887882404	outer	0.577174386947809	43.4754224994525	inner	0.573675514874401
X31183	64.5052448932629	inner	0.56452696496975	86.2367438600451	outer	0.558390121195094
X18624	56.5214034568714	outer	0.417458884050011	42.2601313430724	neutral	0.464561193362555
X31184	54.3765252550472	inner	0.605971310900542	59.4705584818693	outer	0.593924282961656
X31194	59.1598661612828	outer	0.599890292758488	64.5214717867336	outer	0.584553900453417
X31509	44.2400877462214	neutral	0.572890649873238	41.7417684902718	inner	0.577584524588809
X32033	50.6923371520937	neutral	0.54951384945317	48.9917821308725	outer	0.574071285611972
X32395	67.3103160806832	outer	0.542031004920956	86.0952421893848	outer	0.54978975062356
X31979	57.1634510491242	outer	0.60467570380387	46.0157628200001	inner	0.608342655315588
X32274	59.733042762298	inner	0.608085720164424	76.1182666901522	outer	0.620505591659753
X32353	60.1397035096696	outer	0.612085073806903	52.3458384536527	outer	0.609293931328852
X31869	61.7057165656787	outer	0.638765471014412	55.4997612200484	inner	0.626374754511238
X32034	54.1668757634858	inner	0.603177561869565	70.9136113247132	inner	0.599871783248702
X18568	61.4164501514776	neutral	0.545457152162757	70.0583751746311	neutral	0.537469791193799
X11698	44.3000567403316	neutral	0.36793800587654	20.9739936061899	inner	0.397378714357702
X31980	62.8545823419986	inner	0.628641553347263	63.5366829727059	outer	0.628004918398593
X33373	68.9237558211924	outer	0.58849244508312	91.8825637689742	outer	0.581827332920721
X31911	58.1356503308595	outer	0.615386478622631	47.8659072534027	neutral	0.634448766480517
X32557	56.3127171067288	inner	0.542603070933616	45.9032072423392	neutral	0.564241504555951
X31981	59.6816067967441	inner	0.55710540578569	86.2682935127329	outer	0.570051120309977
X31923	52.6342346971817	inner	0.605996637915981	66.1996416373425	inner	0.609474455662113
X32015	46.9042022660094	inner	0.548850369672214	40.7495489288506	inner	0.562907126231316
X32559	58.561378859023	outer	0.56444345380283	41.1335889148527	inner	0.554486619711316
X32337	49.8254505147684	inner	0.487521573504797	77.0305001725293	inner	0.511387391417682
X32558	49.007147522313	neutral	0.495376397056442	36.6366828005374	inner	0.519836765589116
X18843	59.1184954229957	outer	0.546877408659289	66.8951155233786	inner	0.549466517094442
X32571	46.8794542030007	inner	0.508700439584952	38.1237511876485	inner	0.519972654857722
X32277	51.4690166195411	outer	0.461537241842045	43.6923377725013	outer	0.50695945023647
X32654	54.2480321509539	inner	0.547460269124873	88.9004920676047	inner	0.574180048117388
X32350	56.6612604666941	outer	0.617160182461016	42.9665543861061	inner	0.634083585741591
X32572	61.8156520737891	neutral	0.542699426311024	74.7692476660948	outer	0.547027557834978
X32397	50.9230208834516	inner	0.575615218545416	47.8324210717414	inner	0.576143100610231
X32667	56.9412026344166	inner	0.592686388714018	51.2652230987854	outer	0.570759024107107
X32394	58.1873304055704	outer	0.579823609794937	51.667798455927	outer	0.592027833413647
X32959	56.0573403149914	inner	0.474874296632593	44.5761669576018	inner	0.509872151480128
X32573	53.9543981081307	outer	0.533011292367777	47.9277853901888	outer	0.564433194061169
X18625	54.4420992614707	neutral	0.591800821818796	80.1524579101358	neutral	0.596746404107422
X32973	54.5885875004017	inner	0.574601734462421	50.6565970617854	outer	0.580807499448821
X32960	53.5251259217209	inner	0.496357420875718	33.2458733320558	inner	0.534469268315996
X32398	52.2238994066674	inner	0.53730164932589	71.3752588352773	outer	0.544906483802803
X32408	53.1072797799791	inner	0.538278833001695	47.5272444231197	outer	0.556434146900847
