gdsc_ID	all_pseudotime	emt_score
A101D	10.2776673264746	2.51003455253087
A204	11.1986151391164	0.779317513983071
A2058	11.8086908551911	1.40300263826806
A253	19.5807803211203	-0.916361208061771
A2780	12.9505190752066	1.36318245835096
A375	11.8432484230657	2.15281560798613
A388	20.8660143521082	-0.485233043541998
A427	11.9200138396014	-0.661908465280674
A431	16.4557431379551	-0.986360566095125
A498	14.8341547379752	1.01600691390998
A549	10.5120014241843	0.142813660268564
A704	14.6938647569619	0.402410021589721
ABC-1	11.7237530753443	-1.15578112937084
ACHN	11.9306774549299	0.452156462674815
AGS	14.2942424574192	-1.70538120354308
AN3-CA	2.9835666952141	1.1577162930339
ASH-3	11.3993225331382	3.12372489848142
AsPC-1	13.3704473894575	-0.655864197843475
AU565	21.941796019744	-0.690350115475749
BB30-HNC	19.9648078367937	-0.709162141709571
BB49-HNC	10.5653765809027	2.08074533844449
BB65-RCC	12.3910515967537	0.846610175786958
BCPAP	10.7946296443862	1.73850730210975
BEN	16.03272692062	-1.43271052896091
BFTC-905	10.3945031189499	-0.419998283479627
BFTC-909	10.8890548461123	2.28288226761869
BHT-101	12.5951602751977	0.774222281362535
BPH-1	23.9732082516282	-0.8301972357376
BT-20	25.1506359343517	-0.728429368009208
BT-474	18.0452120489788	-1.32504137883976
BT-483	18.374549029627	-1.5080016146536
BT-549	10.0979742899061	1.985180758447
BxPC-3	18.885942296539	-0.602510731595609
C-33-A	2.82350713498064	0.29323873784918
C-4-I	11.8994778712871	-1.44052772224057
C2BBe1	12.3284760490878	-1.82710858816803
C32	13.6605801354695	2.15920819995929
C3A	13.9931398353416	-1.28708330111375
Ca-Ski	6.74791759898215	-0.547729586792331
CAKI-1	13.6092091198255	0.740924108279742
CAL-120	8.795546649167	0.30414693371493
CAL-12T	18.1095083674838	-0.952384337464055
CAL-148	15.7981379277937	-1.19187177301663
CAL-27	25.7375295560404	-0.953743464702002
CAL-29	19.4282990893648	-1.38669059941086
CAL-33	19.5123692805048	-0.373641517843191
CAL-39	24.1984270281747	-0.854609333395271
CAL-51	12.2106760033612	-0.507448615689705
CAL-54	12.9274603908257	0.367948918816474
CAL-62	8.73848648048649	0.904980765048939
CAL-85-1	19.8315175269904	-0.751648135174316
Calu-3	14.9529679435413	-1.12103696141521
Calu-6	7.28537342308437	1.21967245102954
CAMA-1	19.5904311612548	-1.4293621476575
Caov-4	13.0311019540756	-1.01246503363821
CAPAN-1	15.9891666853185	-1.34835278029238
Capan-2	11.0270154222727	-1.31448346445008
CaR-1	14.4881553700869	-0.744245188941386
CCK-81	10.0316409517364	-1.52535074863951
CFPAC-1	12.8472730732109	-0.285266028225913
CGTH-W-1	13.0597473836977	2.75792800544849
ChaGo-K-1	12.3252679478652	-0.542993452787998
CHL-1	5.00043143083171	1.72111365375954
CL-11	13.1591392625781	-1.20315289149586
CL-34	8.02767751326044	-1.43790360456355
CL-40	18.5330852176182	-1.94652614381087
COLO-205	22.3846075204973	-1.8581441852147
COLO-320-HSR	13.7188496383169	0.854660658539669
COLO-668	7.99431134607191	-0.954629465715293
COLO-678	13.4925288307688	-1.49460420446166
COLO-679	7.05739417859896	1.97385327882497
COLO-680N	14.3807580673269	-1.15274645952061
COLO-684	8.61193058801966	1.50427285129605
COLO-741	2.22114408948127	1.6217372413631
COLO-783	13.1848907356344	2.68413848098219
COLO-792	13.7722976823568	1.33688924991705
COLO-800	14.0598850071521	1.72681990650058
COLO-824	6.33923987544051	-0.428258315932017
COLO-829	11.3921636866806	1.88942303135474
COR-L105	11.292400962249	-0.717847814659807
COR-L23	12.7994462642418	-0.455059681800243
COR-L279	8.43411848513093	-0.118240691421804
COR-L303	8.21582931931832	0.0329194325692609
COR-L311	6.97156892673262	-0.69193279700952
COR-L32	7.60572175761465	-0.999600103546803
COR-L88	6.99977479741681	-0.356042122694143
COR-L95	7.12388761076654	-0.310917245149933
CP50-MEL-B	11.0203267297182	2.24555092781742
CP66-MEL	12.9469647967095	1.82305218137997
CPC-N	7.84900383423111	1.12851497782157
CW-2	11.7831638829466	-1.94687711251127
DAN-G	12.1209008482515	-0.544486002188854
DIFI	18.336237384294	-1.13134866159105
DJM-1	13.1163443446293	-0.183194541457227
DMS-114	8.14051760113796	0.615428832902042
DMS-273	11.8022810084627	1.5636953584326
DMS-53	12.4457795580566	-0.577601193301985
DMS-79	13.040638470128	-0.600165038587012
DoTc2-4510	13.5268914816498	-0.963530762339798
DOV13	10.5184184236895	0.860646415067557
DSH1	20.8997607589659	-1.01857005949078
DU-145	3.52197398881165	-0.557286674771782
DU-4475	11.5180321093932	-0.586650739753894
EBC-1	13.1586150866854	-0.457000595601066
EC-GI-10	16.1840646431172	-1.13052750455621
ECC10	10.0656362298415	-0.0904972075871553
ECC12	13.8179737531816	0.259558855279758
EFM-19	18.0759696442965	-1.34237730523728
EFM-192A	20.4681490266138	-1.76022078937708
EFO-21	13.562128784053	-0.248668148978478
EFO-27	5.07177196692927	0.482901048568339
EGI-1	27.8291673735249	-1.81391568183281
EKVX	15.6702766264176	-1.26728652131612
EMC-BAC-1	15.8399611379035	-0.894935020558189
EMC-BAC-2	10.9031213083338	-0.666931763541618
EN	9.16160143501241	0.13168801086419
EPLC-272H	14.9806862311392	-1.02327663410516
ES-2	10.9012760871446	2.27756382963595
ESO26	18.2639617906738	-1.36517481120338
ESO51	18.5603906785797	0.47468565268836
ESS-1	2.58629837683688	1.15120779219095
ETK-1	15.8019277114138	-1.02256621781696
EVSA-T	19.3264758451131	-1.37551999318611
