TCGAlong.id	cancer.type	sample.type	mRNAsi	EREG-mRNAsi
TCGA-06-0681-11A-41R-A36H-07	GBM	11	0.37966872	0.340375107
TCGA-06-0686-01A-01R-1849-01	GBM	1	0.335176531	0.459855248
TCGA-06-0743-01A-01R-1849-01	GBM	1	0.249292325	0.382680303
TCGA-06-0744-01A-01R-1849-01	GBM	1	0.31446378	0.464418047
TCGA-06-0745-01A-01R-1849-01	GBM	1	0.283639961	0.513218383
TCGA-06-0747-01A-01R-1849-01	GBM	1	0.264924883	0.366977078
TCGA-06-0749-01A-01R-1849-01	GBM	1	0.298258337	0.404997829
TCGA-06-0750-01A-01R-1849-01	GBM	1	0.204947187	0.424809124
TCGA-06-0878-01A-01R-1849-01	GBM	1	0.234663493	0.45317996
TCGA-06-0882-01A-01R-1849-01	GBM	1	0.229519469	0.423725623
TCGA-06-1804-01A-01R-1849-01	GBM	1	0.278959103	0.419505335
TCGA-06-2557-01A-01R-1849-01	GBM	1	0.311572989	0.52753123
TCGA-06-2558-01A-01R-1849-01	GBM	1	0.32807545	0.547802108
TCGA-06-2559-01A-01R-1849-01	GBM	1	0.315554062	0.534390816
TCGA-06-2561-01A-02R-1849-01	GBM	1	0.263752745	0.408639345
TCGA-06-2562-01A-01R-1849-01	GBM	1	0.228227878	0.558737335
TCGA-06-2563-01A-01R-1849-01	GBM	1	0.323780293	0.557520829
TCGA-06-2564-01A-01R-1849-01	GBM	1	0.260514777	0.518570676
TCGA-06-2565-01A-01R-1849-01	GBM	1	0.27781888	0.446694394
TCGA-06-2567-01A-01R-1849-01	GBM	1	0.312989317	0.438470838
TCGA-06-2569-01A-01R-1849-01	GBM	1	0.225761155	0.545375684
TCGA-06-2570-01A-01R-1849-01	GBM	1	0.31785248	0.518774203
TCGA-06-5408-01A-01R-1849-01	GBM	1	0.315352763	0.477383578
TCGA-06-5410-01A-01R-1849-01	GBM	1	0.224240802	0.506851759
TCGA-06-5411-01A-01R-1849-01	GBM	1	0.342628561	0.574980766
TCGA-06-5412-01A-01R-1849-01	GBM	1	0.244184789	0.536476856
TCGA-06-5413-01A-01R-1849-01	GBM	1	0.331727931	0.722459966
TCGA-06-5414-01A-01R-1849-01	GBM	1	0.28616744	0.556797351
TCGA-06-5415-01A-01R-1849-01	GBM	1	0.295522957	0.482110301
TCGA-06-5416-01A-01R-1849-01	GBM	1	0.379065775	0.749650831
TCGA-06-5417-01A-01R-1849-01	GBM	1	0.415284954	0.596306326
TCGA-06-5418-01A-01R-1849-01	GBM	1	0.253207763	0.32575265
TCGA-06-5856-01A-01R-1849-01	GBM	1	0.337855553	0.607836298
TCGA-06-5858-01A-01R-1849-01	GBM	1	0.294417913	0.617434493
TCGA-06-5859-01A-01R-1849-01	GBM	1	0.338943936	0.510830899
TCGA-06-AABW-11A-31R-A36H-07	GBM	11	0.364712858	0.440303654
